subject,session_idx,session_name,rel_path,n_raw,n_pass,pass_fraction,fail_fraction,min_pass_existing_qc,eligible_existing_qc,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,n_rms_flagged,rms_flag_fraction_defined,n_nonfinite_raw,block_0_n_pass,block_1_n_pass,block_2_n_pass,block_3_n_pass,block_4_n_pass,minimum_block_n_pass,raw_rms_median,raw_rms_mad,in_band_ratio_median,in_band_ratio_p10,in_band_ratio_p10_margin,energy_retention_median,energy_retention_mad,roi_to_total_median,roi_to_total_mad,peak_share_median,peak_share_mad,peak_bin_median,peak_bin_mad,peak_bin_iqr,peak_bin_mode,peak_bin_mode_share,peak_range_m_median,peak_range_m_mad,component_missing_reasons,audit_status,repeatability_missing_reason
3,0,8am,subject_3_8am.mat,100,100,1,0,50,True,0,0,0,0,5,0.050000000000000003,0,20,20,20,20,20,20,25.094514182651494,1.7338786303762213,0.49689063282044499,0.46578543775632508,0.16578543775632509,0.305558965970884,0.023978912016846904,0.96056885691936,0.0038854201663782728,0.51114654520902014,0.0072952744009649462,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
3,1,10am,subject_3_10am.mat,100,37,0.37,0.63,50,False,63,0,0,63,5,0.050000000000000003,0,14,8,0,10,5,0,15.028477437276951,1.0009334639260556,0.27047892490141401,0.18458277809148707,-0.11541722190851292,0.22162928132836932,0.036862663555110114,0.94432235647005158,0.012552910191820477,0.5058602686197049,0.01135316576451384,5,0,1,5,0.67567567567567566,1.4970928426184582,0,{},INELIGIBLE_EXISTING_QC,ineligible_existing_qc
3,2,12pm,subject_3_12pm.mat,100,99,0.98999999999999999,0.01,50,True,1,0,0,1,64,0.64000000000000001,0,20,20,20,20,19,19,12.509958126480361,0.65022197822792638,0.49881688483954889,0.3660202829895674,0.066020282989567414,0.25569541057800776,0.046516295005543662,0.93901174643485774,0.008005099827938289,0.49353445442933719,0.014012333897908957,5,0,0,5,0.93939393939393945,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
3,3,2pm,subject_3_2pm.mat,100,100,1,0,50,True,0,0,0,0,39,0.39000000000000001,0,20,20,20,20,20,20,19.903071477989016,1.5780331494063535,0.68342023222313031,0.63907942829149356,0.33907942829149357,0.51564563368570704,0.015856214828207177,0.9657761375873084,0.0013367829573713852,0.52447600931284177,0.0037333373332890107,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
3,4,4pm,subject_3_4pm.mat,100,100,1,0,50,True,0,0,0,0,81,0.81000000000000005,0,20,20,20,20,20,20,15.811123275765237,0.86703995397695266,0.79472213418678539,0.62991654722239609,0.32991654722239611,0.58734421210531895,0.06227236341484127,0.95934535704450052,0.0069668896788596113,0.51724147102125773,0.015735737749984879,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
4,0,8am,subject_4_8am.mat,100,96,0.95999999999999996,0.040000000000000001,50,True,4,0,0,4,19,0.19,0,18,20,18,20,20,18,19.515035549093831,1.1155415562737279,0.3669543481723973,0.32262654040374128,0.022626540403741291,0.23033958539736907,0.020957056181968303,0.96216179135944846,0.0028539170377102074,0.51260132100712263,0.0058356273295454564,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
4,1,10am,subject_4_10am.mat,100,97,0.96999999999999997,0.029999999999999999,50,True,3,0,0,3,59,0.58999999999999997,0,20,17,20,20,20,17,15.81146304413214,1.2981761017726292,0.53178469377030879,0.39852101395706269,0.098521013957062697,0.35678202200804587,0.060477104163642714,0.90175123267490109,0.0065354755350659488,0.58771065682568591,0.016919266303751068,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
4,2,12pm,subject_4_12pm.mat,100,66,0.66000000000000003,0.34000000000000002,50,True,34,0,0,34,100,1,0,13,13,14,14,12,12,15.952617631753366,0.45755705421513415,0.3901711864626784,0.23300456605461889,-0.0669954339453811,0.37297937677388121,0.067463137798376566,0.82744175546114418,0.01478108434312303,0.72853799205264491,0.023267263060812726,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
4,3,2pm,subject_4_2pm.mat,100,35,0.34999999999999998,0.65000000000000002,50,False,65,0,0,65,100,1,0,10,7,9,2,7,2,9.8432991169616262,0.33087799609560076,0.27614033929404436,0.2119409741040684,-0.088059025895931592,0.13414514390587165,0.01391053475395021,0.8842659123789024,0.024277912323062645,0.48034900938721992,0.02511624248602079,6,0,1,6,0.54285714285714282,1.7965114111421496,0,{},INELIGIBLE_EXISTING_QC,ineligible_existing_qc
4,4,4pm,subject_4_4pm.mat,100,92,0.92000000000000004,0.080000000000000002,50,True,8,0,0,8,30,0.29999999999999999,0,20,20,17,20,15,15,12.837547091513356,1.6200317536157307,0.53613243672573763,0.32026807592346029,0.020268075923460305,0.34906814398810115,0.042048509723482563,0.9272711525588585,0.010512638255469942,0.49667504038426713,0.013257652987051088,6,0,1,6,0.61956521739130432,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
5,0,8am,subject_5_8am.mat,100,100,1,0,50,True,0,0,0,0,4,0.040000000000000001,0,20,20,20,20,20,20,13.672471545036004,0.71843705508478273,0.39626649304168643,0.36599252034420465,0.065992520344204664,0.20314423147414312,0.016389610509369379,0.85879693015152592,0.0046547763505405126,0.40987484321112955,0.015699006453533837,6,0,1,6,0.53000000000000003,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
5,1,10am,subject_5_10am.mat,100,100,1,0,50,True,0,0,0,0,8,0.080000000000000002,0,20,20,20,20,20,20,15.104016388888727,0.57434279654590892,0.46636901327061386,0.41928662258809951,0.11928662258809952,0.17891749447231295,0.012431077966082976,0.94291531202455847,0.0061069980721813466,0.48519309205524441,0.009020353151968169,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
