subject,session_a_idx,session_a_name,session_b_idx,session_b_name,recorded_mass_kg,diagnostic_channel,diagnostic_role,tiling_idx,scattering_order,view,between_session_distance,between_distance_numerator,within_a,within_b,epsilon_distance_a,epsilon_distance_b,between_to_within_denominator,between_to_within_ratio,exactly_identical,common_path_count,common_vector_dimension,n_near_zero_path_blocks_a,n_near_zero_path_blocks_b,n_inactive_paths_a,n_inactive_paths_b,missing_reason
6,3,2pm,4,4pm,49.700000000000003,mag,primary,2,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
6,3,2pm,4,4pm,49.700000000000003,mag,primary,2,1,within_path_shape,0.010142223337800516,0.010142223337800516,0.0073606122958937547,0.0038029534395130201,1.1558066744466744e-14,8.1291055251740749e-15,0.0082849905391355911,1.2241683668668013,False,43,215,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,2,1,path_energy_composition,0.25844945199075159,0.25844945199075159,0.17357151842906118,0.049735349322099387,1.8805742063621333e-13,1.1628658264079164e-13,0.18055657557109675,1.4314042630310264,False,43,43,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,2,2,within_path_shape,0.0083935231236357422,0.0083935231236357422,0.0048656439073419206,0.0033018284133135871,8.8931006947347076e-15,6.7255394320696382e-15,0.0058801837984895052,1.4274253001737567,False,305,1525,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,2,2,path_energy_composition,0.025238844099227713,0.025238844099227713,0.037062381522898015,0.01678388356855802,4.3208867744724644e-14,3.2464454483303321e-14,0.040685610131737784,0.62033834610088712,False,305,305,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,0,0,within_path_shape,0.99066085699012607,0.99066085699012607,0.35140552481136889,0.13279716798469288,3.8866921728545179e-13,1.8749174465206953e-13,0.37566065896325679,2.6371163265382607,False,1,12,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,0,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,0,1,within_path_shape,0.3573946726578095,0.3573946726578095,0.1397911270720496,0.038296535233401083,2.0093724152931573e-13,7.714381321243782e-14,0.1449420015694452,2.4657771300789793,False,55,660,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,0,1,path_energy_composition,0.069674800677817422,0.069674800677817422,0.038355080734927251,0.034929643536206402,5.1765644479605511e-14,4.8198011929866028e-14,0.051876702051587981,1.3430846203085616,False,55,55,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,0,2,within_path_shape,0.44078913637371547,0.44078913637371547,0.35507444295326412,0.086302649663692055,3.9689390260551227e-13,1.844217384817763e-13,0.36541210622740017,1.2062795097965564,False,686,8232,12,3,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,0,2,path_energy_composition,0.065821018067509382,0.065821018067509382,0.080541457334466743,0.034953005879392353,8.216183693533835e-14,4.4482905747919009e-14,0.0877988551722889,0.74967968475611546,False,686,686,12,3,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,1,0,within_path_shape,0.81559753625730558,0.81559753625730558,0.27099163296848972,0.19195696037220722,3.135679919433345e-13,2.3427344663452394e-13,0.33209025847541174,2.4559514030963157,False,1,10,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,1,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,1,1,within_path_shape,0.36316819385854582,0.36316819385854582,0.16146653537472533,0.038144849596320411,2.2538324062966962e-13,9.2913506072160949e-14,0.16591103518646169,2.1889333247206468,False,54,540,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,1,1,path_energy_composition,0.069678324367171002,0.069678324367171002,0.041800883566277133,0.03383684857366466,5.2908159010714342e-14,5.252712116458932e-14,0.053779607550804701,1.2956272375425397,False,54,54,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,1,2,within_path_shape,0.45804556954834641,0.45804556954834641,0.21713668414771878,0.052178031243714007,3.1127998789276095e-13,1.1560385813166778e-13,0.22331790467209783,2.0510920081437445,False,411,4110,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,1,2,path_energy_composition,0.063803892968084891,0.063803892968084891,0.048698835061812606,0.02129291384406163,6.2245763724840285e-14,3.4355433153325732e-14,0.053150397141961792,1.2004405686314665,False,411,411,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,2,0,within_path_shape,0.72512126671932386,0.72512126671932386,0.14881687303889654,0.21441020525040005,2.0928238705712216e-13,2.7355958137588676e-13,0.2609946317773485,2.7782995450186747,False,1,10,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,2,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,2,1,within_path_shape,0.37778557766436677,0.37778557766436677,0.15837851687783827,0.03771790245294164,2.3421082023678423e-13,9.6369459878547991e-14,0.16280784616803123,2.3204383975110181,False,43,430,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,2,1,path_energy_composition,0.061873154711898533,0.061873154711898533,0.034000131968892955,0.032947081292299674,4.6685760778003839e-14,5.1007806014084442e-14,0.047344684385721064,1.3068659241196503,False,43,43,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,2,2,within_path_shape,0.4882007390158985,0.4882007390158985,0.21032132244967158,0.050466806719105688,3.1853539369883298e-13,1.0721232997321181e-13,0.2162913712042214,2.2571438532096662,False,305,3050,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,iq,sensitivity,2,2,path_energy_composition,0.056218535689479522,0.056218535689479522,0.03612298865938908,0.016643429999415073,5.5634524378604841e-14,2.9071755894066793e-14,0.039772780539356081,1.4134927185654014,False,305,305,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,0,0,within_path_shape,0.34949428862849546,0.34949428862849546,0.093833696595558944,0.49386190047408307,6.4844397000826905e-14,3.0601135236228076e-13,0.50269706519598911,0.69523837083122086,False,1,6,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,0,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
7,3,2pm,4,4pm,93,mag,primary,0,1,within_path_shape,0.12864914761775215,0.12864914761775215,0.1133994102302667,0.065733617634840535,1.0616322069252077e-13,7.3995922848048119e-14,0.13107377589714783,0.98150180489727967,False,55,330,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,0,1,path_energy_composition,0.19075171070057265,0.19075171070057265,0.1772085007759166,0.12808105372278472,1.6157727463111988e-13,1.6208201826463424e-13,0.21864951193631077,0.87240858217024364,False,55,55,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,0,2,within_path_shape,0.14604304649901059,0.14604304649901059,0.18636568953403124,0.12510843615695227,1.8041083231553902e-13,1.5618318725923715e-13,0.22446445382985059,0.65062883680333061,False,686,4116,1,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,0,2,path_energy_composition,0.48838902635240289,0.48838902635240289,0.28744822736723247,0.066919016134290146,2.9995134755449517e-13,6.3349763156719728e-14,0.29513494902661996,1.6547990265576857,False,686,686,1,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,1,0,within_path_shape,0.32806736079450444,0.32806736079450444,0.059247766204630431,1.0182817422464827,4.5919721802535217e-14,3.2391476866035749e-13,1.0200039237143996,0.32163343019292451,False,1,5,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,1,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
7,3,2pm,4,4pm,93,mag,primary,1,1,within_path_shape,0.031694006335380359,0.031694006335380359,0.032907044456201913,0.021440939514416966,3.3894897308279032e-14,2.3989336416633382e-14,0.039275787224489031,0.80696043478967316,False,54,270,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,1,1,path_energy_composition,0.21460095062080581,0.21460095062080581,0.17524551184344769,0.15915473090699803,1.6393151337790561e-13,1.7590887499119918e-13,0.23673026378422959,0.90652097957532884,False,54,54,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,1,2,within_path_shape,0.028435274352131026,0.028435274352131026,0.03426362720786226,0.027271147569892625,3.5842064559255059e-14,2.8548093027179178e-14,0.043791684589864995,0.64933045208112394,False,411,2055,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,1,2,path_energy_composition,0.30319524437265521,0.30319524437265521,0.26334000302346339,0.056161221104589154,2.3198432023935546e-13,5.766712020468778e-14,0.26926202841907781,1.1260230272824208,False,411,411,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,2,0,within_path_shape,0.19227568595831465,0.19227568595831465,0.02714942246668374,1.6157069905641253,2.2697611820673307e-14,2.036586943638066e-13,1.61593507620141,0.1189872593212708,False,1,5,0,0,0,0,
7,3,2pm,4,4pm,93,mag,primary,2,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
7,3,2pm,4,4pm,93,mag,primary,2,1,within_path_shape,0.011220475400135679,0.011220475400135679,0.0097651940927675311,0.007729062838736948,1.1337396123485122e-14,8.653370227490312e-15,0.012453811787343115,0.9009671570224882,False,43,215,0,0,0,0,
